Key,Value
X,0.0262136581071708
Y,0.025275292723343633
Z,0.02440957168835354
R,0.06409527333105296
G,4.3033367807626345e-06
B,3.514399075633363e-07
Intensity,2.086914286303305e-05
eigenvalues_sum,0.0003260582591689875
omnivariance,0.00012723291208981163
eigentropy,0.0001988253473106796
anisotropy,0.0002439411360207221
planarity,8.614950772065243e-05
linearity,6.402064429343087e-06
pca1,1.0434449085712626e-05
pca2,0.00024376764029477514
surface_variation,0.0672598561582686
sphericity,3.004032050594242e-06
verticality,1.2272241323705525e-06
number_of_neighbors,7.208059723444897e-08
eigenvalue1,-1.1152870291828864e-05
eigenvalue2,1.1395581471022578e-06
eigenvalue3,0.0001618878133659484
eigenvector1x,7.370708699665222e-05
eigenvector1y,0.00010457219988538805
eigenvector1z,-1.1620462473998463e-05
eigenvector2x,0.00011983084640521578
eigenvector2y,-8.657108801297777e-05
eigenvector2z,5.791730370816996e-05
